year,city,country,avg_temp
1863,Madrid,Spain,11.19
1864,Madrid,Spain,11.49
1865,Madrid,Spain,11.40
1866,Madrid,Spain,11.41
1867,Madrid,Spain,11.61
1868,Madrid,Spain,11.84
1869,Madrid,Spain,11.34
1870,Madrid,Spain,11.70
1871,Madrid,Spain,11.10
1872,Madrid,Spain,11.31
1873,Madrid,Spain,11.25
1874,Madrid,Spain,11.60
1875,Madrid,Spain,11.63
1876,Madrid,Spain,11.69
1877,Madrid,Spain,11.51
1878,Madrid,Spain,11.57
1879,Madrid,Spain,10.98
1880,Madrid,Spain,11.12
1881,Madrid,Spain,11.91
1882,Madrid,Spain,11.17
1883,Madrid,Spain,10.59
1884,Madrid,Spain,10.78
1885,Madrid,Spain,10.59
1886,Madrid,Spain,10.99
1887,Madrid,Spain,10.71
1888,Madrid,Spain,10.44
1889,Madrid,Spain,10.35
1890,Madrid,Spain,10.54
1891,Madrid,Spain,10.73
1892,Madrid,Spain,11.25
1893,Madrid,Spain,11.87
1894,Madrid,Spain,10.87
1895,Madrid,Spain,11.81
1896,Madrid,Spain,10.50
1897,Madrid,Spain,12.04
1898,Madrid,Spain,11.53
1899,Madrid,Spain,12.50
1900,Madrid,Spain,11.54
1901,Madrid,Spain,10.84
1902,Madrid,Spain,11.08
1903,Madrid,Spain,11.13
1904,Madrid,Spain,11.76
1905,Madrid,Spain,10.85
1906,Madrid,Spain,11.26
1907,Madrid,Spain,11.24
1908,Madrid,Spain,11.57
1909,Madrid,Spain,10.90
1910,Madrid,Spain,10.82
1911,Madrid,Spain,11.16
1912,Madrid,Spain,10.95
1913,Madrid,Spain,11.36
1914,Madrid,Spain,11.18
1915,Madrid,Spain,11.32
1916,Madrid,Spain,11.21
1917,Madrid,Spain,10.63
1918,Madrid,Spain,11.12
1919,Madrid,Spain,11.03
1920,Madrid,Spain,11.82
1921,Madrid,Spain,11.66
1922,Madrid,Spain,11.14
1923,Madrid,Spain,11.31
1924,Madrid,Spain,11.57
1925,Madrid,Spain,10.72
1926,Madrid,Spain,12.13
1927,Madrid,Spain,11.54
1928,Madrid,Spain,11.76
1929,Madrid,Spain,11.85
1930,Madrid,Spain,11.79
1931,Madrid,Spain,11.48
1932,Madrid,Spain,10.91
1933,Madrid,Spain,11.49
1934,Madrid,Spain,11.36
1935,Madrid,Spain,11.27
1936,Madrid,Spain,11.17
1937,Madrid,Spain,12.03
1938,Madrid,Spain,11.93
1939,Madrid,Spain,11.23
1940,Madrid,Spain,11.53
1941,Madrid,Spain,11.10
1942,Madrid,Spain,11.63
1943,Madrid,Spain,12.11
1944,Madrid,Spain,11.26
1945,Madrid,Spain,12.56
1946,Madrid,Spain,11.10
1947,Madrid,Spain,12.38
1948,Madrid,Spain,12.49
1949,Madrid,Spain,12.43
1950,Madrid,Spain,12.17
1951,Madrid,Spain,11.15
1952,Madrid,Spain,11.50
1953,Madrid,Spain,11.76
1954,Madrid,Spain,11.29
1955,Madrid,Spain,12.45
1956,Madrid,Spain,10.34
1957,Madrid,Spain,11.30
1958,Madrid,Spain,11.80
1959,Madrid,Spain,11.80
1960,Madrid,Spain,11.57
1961,Madrid,Spain,12.60
1962,Madrid,Spain,11.70
1963,Madrid,Spain,11.20
1964,Madrid,Spain,11.97
1965,Madrid,Spain,11.55
1966,Madrid,Spain,11.79
1967,Madrid,Spain,11.50
1968,Madrid,Spain,11.85
1969,Madrid,Spain,10.94
1970,Madrid,Spain,11.61
1971,Madrid,Spain,10.83
1972,Madrid,Spain,10.65
1973,Madrid,Spain,11.22
1974,Madrid,Spain,11.07
1975,Madrid,Spain,11.14
1976,Madrid,Spain,11.31
1977,Madrid,Spain,11.30
1978,Madrid,Spain,11.53
1979,Madrid,Spain,11.72
1980,Madrid,Spain,11.42
1981,Madrid,Spain,12.10
1982,Madrid,Spain,12.05
1983,Madrid,Spain,11.98
1984,Madrid,Spain,11.05
1985,Madrid,Spain,12.04
1986,Madrid,Spain,11.65
1987,Madrid,Spain,12.36
1988,Madrid,Spain,11.83
1989,Madrid,Spain,13.04
1990,Madrid,Spain,12.68
1991,Madrid,Spain,11.92
1992,Madrid,Spain,11.89
1993,Madrid,Spain,11.12
1994,Madrid,Spain,12.45
1995,Madrid,Spain,12.99
1996,Madrid,Spain,11.96
1997,Madrid,Spain,13.02
1998,Madrid,Spain,12.40
1999,Madrid,Spain,12.09
2000,Madrid,Spain,12.20
2001,Madrid,Spain,12.33
2002,Madrid,Spain,12.52
2003,Madrid,Spain,12.92
2004,Madrid,Spain,12.17
2005,Madrid,Spain,12.26
2006,Madrid,Spain,13.06
2007,Madrid,Spain,11.89
2008,Madrid,Spain,11.92
2009,Madrid,Spain,12.96
2010,Madrid,Spain,12.01
2011,Madrid,Spain,13.28
2012,Madrid,Spain,12.33
2013,Madrid,Spain,12.68
1758,Miami,United States,23.05
1759,Miami,United States,22.56
1760,Miami,United States,15.14
1761,Miami,United States,
1762,Miami,United States,
1763,Miami,United States,
1764,Miami,United States,
1765,Miami,United States,
1766,Miami,United States,
1767,Miami,United States,
1768,Miami,United States,21.77
1769,Miami,United States,22.57
1770,Miami,United States,22.64
1771,Miami,United States,23.28
1772,Miami,United States,
1773,Miami,United States,23.52
1774,Miami,United States,
1775,Miami,United States,24.52
1776,Miami,United States,24.26
1777,Miami,United States,24.16
1778,Miami,United States,
1779,Miami,United States,
1780,Miami,United States,
1781,Miami,United States,23.39
1782,Miami,United States,23.45
1783,Miami,United States,22.44
1784,Miami,United States,22.57
1785,Miami,United States,22.24
1786,Miami,United States,22.81
1787,Miami,United States,22.86
1788,Miami,United States,23.21
1789,Miami,United States,23.01
1790,Miami,United States,22.88
1791,Miami,United States,23.17
1792,Miami,United States,22.73
1793,Miami,United States,23.04
1794,Miami,United States,23.21
1795,Miami,United States,20.52
1796,Miami,United States,22.89
1797,Miami,United States,22.91
1798,Miami,United States,23.47
1799,Miami,United States,23.25
1800,Miami,United States,23.06
1801,Miami,United States,23.38
1802,Miami,United States,23.53
1803,Miami,United States,23.36
1804,Miami,United States,23.45
1805,Miami,United States,23.41
1806,Miami,United States,23.13
1807,Miami,United States,22.91
1808,Miami,United States,22.66
1809,Miami,United States,21.81
1810,Miami,United States,21.85
1811,Miami,United States,22.04
1812,Miami,United States,21.53
1813,Miami,United States,22.50
1814,Miami,United States,22.24
1815,Miami,United States,21.96
1816,Miami,United States,21.54
1817,Miami,United States,21.66
1818,Miami,United States,22.40
1819,Miami,United States,22.10
1820,Miami,United States,22.25
1821,Miami,United States,22.42
1822,Miami,United States,23.08
1823,Miami,United States,22.44
1824,Miami,United States,23.40
1825,Miami,United States,23.26
1826,Miami,United States,23.45
1827,Miami,United States,23.97
1828,Miami,United States,24.18
1829,Miami,United States,22.81
1830,Miami,United States,23.81
1831,Miami,United States,22.66
1832,Miami,United States,22.93
1833,Miami,United States,23.08
1834,Miami,United States,23.60
1835,Miami,United States,22.67
1836,Miami,United States,22.55
1837,Miami,United States,22.85
1838,Miami,United States,22.46
1839,Miami,United States,22.90
1840,Miami,United States,22.89
1841,Miami,United States,22.40
1842,Miami,United States,22.91
1843,Miami,United States,22.28
1844,Miami,United States,22.27
1845,Miami,United States,22.14
1846,Miami,United States,22.75
1847,Miami,United States,22.71
1848,Miami,United States,22.98
1849,Miami,United States,23.54
1850,Miami,United States,23.36
1851,Miami,United States,22.81
1852,Miami,United States,22.57
1853,Miami,United States,22.87
1854,Miami,United States,22.78
1855,Miami,United States,22.69
1856,Miami,United States,22.78
1857,Miami,United States,22.33
1858,Miami,United States,22.60
1859,Miami,United States,23.01
1860,Miami,United States,22.80
1861,Miami,United States,23.26
1862,Miami,United States,23.36
1863,Miami,United States,22.94
1864,Miami,United States,22.39
1865,Miami,United States,23.15
1866,Miami,United States,23.04
1867,Miami,United States,23.08
1868,Miami,United States,22.75
1869,Miami,United States,23.22
1870,Miami,United States,22.95
1871,Miami,United States,22.99
1872,Miami,United States,22.56
1873,Miami,United States,22.52
1874,Miami,United States,23.00
1875,Miami,United States,23.08
1876,Miami,United States,22.77
1877,Miami,United States,22.91
1878,Miami,United States,22.88
1879,Miami,United States,22.85
1880,Miami,United States,23.44
1881,Miami,United States,23.14
1882,Miami,United States,23.36
1883,Miami,United States,23.53
1884,Miami,United States,23.09
1885,Miami,United States,22.41
1886,Miami,United States,22.08
1887,Miami,United States,22.65
1888,Miami,United States,22.78
1889,Miami,United States,22.53
1890,Miami,United States,23.11
1891,Miami,United States,22.73
1892,Miami,United States,22.45
1893,Miami,United States,22.87
1894,Miami,United States,22.84
1895,Miami,United States,22.47
1896,Miami,United States,22.84
1897,Miami,United States,23.21
1898,Miami,United States,22.92
1899,Miami,United States,23.11
1900,Miami,United States,22.93
1901,Miami,United States,21.94
1902,Miami,United States,22.85
1903,Miami,United States,22.64
1904,Miami,United States,22.62
1905,Miami,United States,23.12
1906,Miami,United States,22.69
1907,Miami,United States,23.19
1908,Miami,United States,23.12
1909,Miami,United States,23.09
1910,Miami,United States,21.99
1911,Miami,United States,23.69
1912,Miami,United States,23.61
1913,Miami,United States,23.29
1914,Miami,United States,22.80
1915,Miami,United States,22.66
1916,Miami,United States,23.02
1917,Miami,United States,22.59
1918,Miami,United States,23.06
1919,Miami,United States,23.17
1920,Miami,United States,22.63
1921,Miami,United States,23.40
1922,Miami,United States,23.54
1923,Miami,United States,23.18
1924,Miami,United States,23.09
1925,Miami,United States,23.31
1926,Miami,United States,23.06
1927,Miami,United States,23.39
1928,Miami,United States,22.90
1929,Miami,United States,23.73
1930,Miami,United States,22.91
1931,Miami,United States,22.81
1932,Miami,United States,23.55
1933,Miami,United States,23.47
1934,Miami,United States,23.04
1935,Miami,United States,22.83
1936,Miami,United States,23.22
1937,Miami,United States,23.17
1938,Miami,United States,23.20
1939,Miami,United States,23.47
1940,Miami,United States,22.38
1941,Miami,United States,23.18
1942,Miami,United States,22.97
1943,Miami,United States,22.88
1944,Miami,United States,23.28
1945,Miami,United States,23.49
1946,Miami,United States,23.94
1947,Miami,United States,23.54
1948,Miami,United States,24.25
1949,Miami,United States,23.84
1950,Miami,United States,23.19
1951,Miami,United States,23.17
1952,Miami,United States,23.34
1953,Miami,United States,23.63
1954,Miami,United States,22.96
1955,Miami,United States,23.06
1956,Miami,United States,22.89
1957,Miami,United States,23.65
1958,Miami,United States,22.85
1959,Miami,United States,23.62
1960,Miami,United States,22.93
1961,Miami,United States,23.28
1962,Miami,United States,23.00
1963,Miami,United States,22.88
1964,Miami,United States,23.47
1965,Miami,United States,23.41
1966,Miami,United States,22.80
1967,Miami,United States,23.40
1968,Miami,United States,22.51
1969,Miami,United States,22.75
1970,Miami,United States,22.77
1971,Miami,United States,23.36
1972,Miami,United States,23.79
1973,Miami,United States,23.31
1974,Miami,United States,23.60
1975,Miami,United States,24.04
1976,Miami,United States,23.00
1977,Miami,United States,22.98
1978,Miami,United States,23.28
1979,Miami,United States,23.49
1980,Miami,United States,23.37
1981,Miami,United States,22.95
1982,Miami,United States,24.14
1983,Miami,United States,23.20
1984,Miami,United States,23.26
1985,Miami,United States,23.42
1986,Miami,United States,23.83
1987,Miami,United States,23.32
1988,Miami,United States,23.25
1989,Miami,United States,23.77
1990,Miami,United States,24.33
1991,Miami,United States,24.11
1992,Miami,United States,23.36
1993,Miami,United States,23.49
1994,Miami,United States,24.16
1995,Miami,United States,23.60
1996,Miami,United States,23.21
1997,Miami,United States,24.00
1998,Miami,United States,24.28
1999,Miami,United States,23.66
2000,Miami,United States,23.50
2001,Miami,United States,23.70
2002,Miami,United States,24.11
2003,Miami,United States,24.00
2004,Miami,United States,23.69
2005,Miami,United States,23.64
2006,Miami,United States,23.77
2007,Miami,United States,24.12
2008,Miami,United States,23.78
2009,Miami,United States,23.90
2010,Miami,United States,22.75
2011,Miami,United States,24.23
2012,Miami,United States,23.92
2013,Miami,United States,24.44
1743,New York,United States,3.26
1744,New York,United States,11.66
1745,New York,United States,1.13
1746,New York,United States,
1747,New York,United States,
1748,New York,United States,
1749,New York,United States,
1750,New York,United States,10.07
1751,New York,United States,10.79
1752,New York,United States,2.81
1753,New York,United States,9.52
1754,New York,United States,9.88
1755,New York,United States,6.61
1756,New York,United States,9.94
1757,New York,United States,8.89
1758,New York,United States,8.15
1759,New York,United States,9.01
1760,New York,United States,7.73
1761,New York,United States,10.18
1762,New York,United States,9.55
1763,New York,United States,7.23
1764,New York,United States,9.55
1765,New York,United States,8.96
1766,New York,United States,10.09
1767,New York,United States,8.52
1768,New York,United States,8.67
1769,New York,United States,9.10
1770,New York,United States,9.04
1771,New York,United States,10.18
1772,New York,United States,9.64
1773,New York,United States,10.08
1774,New York,United States,9.52
1775,New York,United States,10.24
1776,New York,United States,9.13
1777,New York,United States,8.77
1778,New York,United States,6.89
1779,New York,United States,0.25
1780,New York,United States,
1781,New York,United States,9.79
1782,New York,United States,9.15
1783,New York,United States,8.81
1784,New York,United States,8.40
1785,New York,United States,8.49
1786,New York,United States,8.98
1787,New York,United States,8.97
1788,New York,United States,9.77
1789,New York,United States,9.42
1790,New York,United States,9.39
1791,New York,United States,9.37
1792,New York,United States,8.72
1793,New York,United States,9.88
1794,New York,United States,9.83
1795,New York,United States,9.21
1796,New York,United States,8.97
1797,New York,United States,8.85
1798,New York,United States,9.71
1799,New York,United States,9.19
1800,New York,United States,9.58
1801,New York,United States,10.00
1802,New York,United States,10.29
1803,New York,United States,10.07
1804,New York,United States,9.69
1805,New York,United States,10.43
1806,New York,United States,9.38
1807,New York,United States,9.17
1808,New York,United States,9.57
1809,New York,United States,8.87
1810,New York,United States,9.35
1811,New York,United States,9.43
1812,New York,United States,7.80
1813,New York,United States,8.93
1814,New York,United States,8.70
1815,New York,United States,8.27
1816,New York,United States,7.92
1817,New York,United States,7.78
1818,New York,United States,8.13
1819,New York,United States,9.07
1820,New York,United States,8.98
1821,New York,United States,8.53
1822,New York,United States,9.84
1823,New York,United States,8.64
1824,New York,United States,9.29
1825,New York,United States,10.21
1826,New York,United States,9.92
1827,New York,United States,9.26
1828,New York,United States,10.70
1829,New York,United States,9.17
1830,New York,United States,10.32
1831,New York,United States,9.07
1832,New York,United States,9.15
1833,New York,United States,9.15
1834,New York,United States,9.32
1835,New York,United States,8.48
1836,New York,United States,7.51
1837,New York,United States,8.12
1838,New York,United States,8.73
1839,New York,United States,9.17
1840,New York,United States,9.27
1841,New York,United States,9.00
1842,New York,United States,9.41
1843,New York,United States,8.49
1844,New York,United States,9.12
1845,New York,United States,9.49
1846,New York,United States,9.66
1847,New York,United States,9.30
1848,New York,United States,9.54
1849,New York,United States,8.83
1850,New York,United States,9.10
1851,New York,United States,9.26
1852,New York,United States,8.98
1853,New York,United States,9.68
1854,New York,United States,9.56
1855,New York,United States,9.11
1856,New York,United States,8.20
1857,New York,United States,8.52
1858,New York,United States,9.13
1859,New York,United States,9.17
1860,New York,United States,9.18
1861,New York,United States,9.47
1862,New York,United States,9.00
1863,New York,United States,9.09
1864,New York,United States,9.29
1865,New York,United States,9.64
1866,New York,United States,8.95
1867,New York,United States,8.59
1868,New York,United States,7.95
1869,New York,United States,8.85
1870,New York,United States,10.04
1871,New York,United States,8.94
1872,New York,United States,8.61
1873,New York,United States,8.44
1874,New York,United States,9.06
1875,New York,United States,7.74
1876,New York,United States,9.35
1877,New York,United States,10.15
1878,New York,United States,10.38
1879,New York,United States,9.37
1880,New York,United States,9.99
1881,New York,United States,9.77
1882,New York,United States,9.22
1883,New York,United States,8.59
1884,New York,United States,9.36
1885,New York,United States,8.37
1886,New York,United States,8.90
1887,New York,United States,9.10
1888,New York,United States,8.31
1889,New York,United States,9.86
1890,New York,United States,9.62
1891,New York,United States,10.00
1892,New York,United States,9.15
1893,New York,United States,8.68
1894,New York,United States,9.95
1895,New York,United States,9.22
1896,New York,United States,9.51
1897,New York,United States,9.63
1898,New York,United States,10.24
1899,New York,United States,9.51
1900,New York,United States,10.40
1901,New York,United States,9.29
1902,New York,United States,9.43
1903,New York,United States,9.32
1904,New York,United States,7.87
1905,New York,United States,9.10
1906,New York,United States,9.90
1907,New York,United States,8.49
1908,New York,United States,9.87
1909,New York,United States,9.51
1910,New York,United States,9.55
1911,New York,United States,9.91
1912,New York,United States,9.24
1913,New York,United States,10.76
1914,New York,United States,9.02
1915,New York,United States,9.85
1916,New York,United States,9.10
1917,New York,United States,8.24
1918,New York,United States,9.51
1919,New York,United States,10.05
1920,New York,United States,9.19
1921,New York,United States,10.91
